t_s,cmd_hz,meas_hz,meas_a
0.0001,600.000,549.40,304.10
0.0580,800.000,554.80,306.50
0.1107,800.000,558.60,309.40
0.1601,800.000,567.70,313.80
0.2101,800.000,568.00,314.70
0.2581,800.000,575.70,319.20
0.3011,800.000,580.40,320.90
0.3545,800.000,590.10,326.90
0.4100,800.000,595.50,330.00
0.4506,800.000,603.00,334.10
0.5100,800.000,612.70,338.80
0.5584,800.000,618.50,341.80
0.6100,800.000,632.40,350.10
0.6539,800.000,638.80,353.00
0.7064,800.000,651.40,359.90
0.7600,800.000,653.40,361.50
0.8101,800.000,667.70,369.30
0.8535,800.000,679.80,375.70
0.9101,800.000,692.80,383.30
0.9562,800.000,699.30,386.90
1.0029,800.000,705.00,389.30
