t_s,cmd_hz,meas_hz,meas_a
0.0007,900.000,893.80,6.70
0.1076,600.000,893.80,6.70
0.2056,600.000,893.80,6.70
0.3057,600.000,893.80,6.70
0.4058,600.000,888.00,6.20
0.5060,600.000,888.00,6.20
0.6046,600.000,873.20,5.80
0.7050,600.000,873.20,5.80
0.8074,600.000,852.60,5.50
0.9022,600.000,840.80,5.30
1.0058,600.000,840.80,5.30
1.1042,600.000,814.20,5.10
1.2026,600.000,814.20,5.10
1.3019,600.000,814.20,5.10
1.4045,600.000,778.80,5.00
1.5045,600.000,778.80,5.00
1.6017,600.000,778.80,5.00
1.7037,600.000,740.40,4.80
1.8036,600.000,740.40,4.80
1.9069,600.000,716.80,4.70
2.0061,600.000,716.80,4.70
2.1057,600.000,716.80,4.70
2.2039,600.000,678.50,4.60
2.3061,600.000,678.50,4.60
2.4070,600.000,654.90,4.50
2.5058,600.000,654.90,4.50
2.6060,600.000,654.90,4.50
2.7077,600.000,619.50,4.40
2.8060,600.000,619.50,4.40
2.9048,600.000,619.50,4.40
3.0017,600.000,601.80,4.60
3.1061,600.000,601.80,4.60
3.2023,600.000,592.90,4.80
3.3057,600.000,592.90,4.80
3.4071,600.000,592.90,4.80
3.5059,600.000,592.90,4.80
3.6062,600.000,592.90,4.80
3.7075,600.000,592.90,4.80
3.8033,600.000,592.90,4.80
3.9052,600.000,592.90,4.80
4.0061,600.000,592.90,4.80
4.1021,600.000,592.90,4.80
4.2031,600.000,592.90,4.80
4.3053,600.000,592.90,4.80
4.4075,600.000,592.90,4.80
4.5060,600.000,592.90,4.80
4.6061,600.000,592.90,4.80
4.7036,600.000,592.90,4.90
4.8059,600.000,592.90,4.90
4.9055,600.000,592.90,4.80
5.0058,600.000,592.90,4.80
5.1061,600.000,592.90,4.80
5.2027,600.000,592.90,4.90
5.3038,600.000,592.90,4.90
5.4024,600.000,592.90,4.90
5.5060,600.000,592.90,4.90
5.6061,600.000,592.90,4.90
5.7074,600.000,592.90,4.90
5.8055,600.000,592.90,4.90
5.9059,600.000,592.90,4.90
6.0059,600.000,592.90,4.90
6.1057,600.000,592.90,4.90
6.2038,600.000,592.90,4.90
6.3061,600.000,592.90,4.90
6.4077,600.000,592.90,4.80
6.5061,600.000,592.90,4.80
6.6039,600.000,592.90,4.80
6.7076,600.000,592.90,4.80
6.8061,600.000,592.90,4.80
6.9027,600.000,592.90,4.80
7.0018,600.000,592.90,4.80
7.1046,600.000,592.90,4.80
7.2040,600.000,592.90,4.80
7.3037,600.000,592.90,4.80
7.4036,600.000,592.90,4.80
7.5057,600.000,592.90,4.80
7.6055,600.000,592.90,4.80
7.7040,600.000,592.90,4.80
7.8062,600.000,592.90,4.80
7.9037,600.000,592.90,4.80
8.0058,600.000,592.90,4.90
8.1038,600.000,592.90,4.90
8.2052,600.000,592.90,4.90
8.3038,600.000,592.90,4.90
8.4020,600.000,592.90,4.90
8.5058,600.000,592.90,4.90
8.6016,600.000,592.90,4.90
8.7075,600.000,592.90,4.80
8.8060,600.000,592.90,4.80
8.9061,600.000,592.90,4.80
9.0067,600.000,592.90,4.80
9.1058,600.000,592.90,4.80
9.2057,600.000,592.90,4.80
9.3044,600.000,592.90,4.80
9.4060,600.000,592.90,4.80
9.5031,600.000,592.90,4.80
9.6058,600.000,592.90,4.80
9.7062,600.000,592.90,4.80
9.8076,600.000,592.90,4.80
9.9060,600.000,592.90,4.80
10.0017,600.000,592.90,4.80
10.1026,600.000,592.90,4.80
10.2043,600.000,592.90,4.80
10.3073,600.000,592.90,4.80
10.4017,600.000,592.90,4.80
10.5062,600.000,592.90,4.80
10.6060,600.000,592.90,4.80
10.7060,600.000,592.90,4.80
10.8071,600.000,592.90,4.80
10.9060,600.000,592.90,4.80
11.0062,600.000,592.90,4.80
11.1014,600.000,592.90,4.80
11.2060,600.000,592.90,4.80
11.3069,600.000,592.90,4.90
11.4015,600.000,592.90,4.90
11.5022,600.000,592.90,4.90
11.6038,600.000,592.90,4.80
11.7026,600.000,592.90,4.80
11.8075,600.000,592.90,4.80
11.9060,600.000,592.90,4.80
12.0047,600.000,592.90,4.80
12.1017,600.000,592.90,4.80
12.2060,600.000,592.90,4.80
12.3068,600.000,592.90,4.80
12.4062,600.000,592.90,4.80
12.5019,600.000,592.90,4.80
12.6062,600.000,592.90,4.80
12.7039,600.000,592.90,4.80
12.8077,600.000,592.90,4.80
12.9049,600.000,592.90,4.80
13.0061,600.000,592.90,4.80
13.1029,600.000,592.90,4.80
13.2015,600.000,592.90,4.80
13.3052,600.000,592.90,4.80
13.4061,600.000,592.90,4.80
13.5076,600.000,592.90,4.90
13.6023,600.000,592.90,4.90
13.7061,600.000,592.90,4.90
13.8073,600.000,592.90,4.90
13.9060,600.000,592.90,4.90
14.0058,600.000,592.90,4.90
14.1056,600.000,592.90,4.80
14.2041,600.000,592.90,4.80
14.3079,600.000,592.90,4.80
14.4058,600.000,592.90,4.80
14.5017,600.000,592.90,4.80
14.6024,600.000,592.90,4.80
14.7061,600.000,592.90,4.80
14.8070,600.000,592.90,4.80
14.9011,600.000,592.90,4.80
15.0014,600.000,592.90,4.80
15.1014,600.000,592.90,4.80
15.2058,600.000,592.90,4.80
15.3054,600.000,592.90,4.80
15.4060,600.000,592.90,4.80
15.5076,600.000,592.90,4.80
15.6017,600.000,592.90,4.80
15.7022,600.000,592.90,4.80
15.8067,600.000,592.90,4.80
15.9061,600.000,592.90,4.80
16.0056,600.000,592.90,4.80
16.1055,600.000,592.90,4.80
16.2059,600.000,592.90,4.80
16.3039,600.000,592.90,4.90
16.4062,600.000,592.90,4.90
16.5055,600.000,592.90,4.80
16.6021,600.000,592.90,4.80
16.7040,600.000,592.90,4.80
16.8046,600.000,592.90,4.80
16.9077,600.000,592.90,4.90
17.0060,600.000,592.90,4.90
17.1050,600.000,592.90,4.90
17.2018,600.000,592.90,4.90
17.3011,600.000,592.90,4.90
17.4019,600.000,592.90,4.90
17.5051,600.000,592.90,4.90
17.6013,600.000,592.90,4.90
17.7029,600.000,592.90,4.80
17.8061,600.000,592.90,4.80
