t_s,cmd_hz,meas_hz,meas_a
0.0009,900.000,893.80,6.70
0.1363,600.000,893.80,6.70
0.2347,600.000,893.80,6.70
0.3347,600.000,893.80,6.70
0.4346,600.000,888.00,6.30
0.5348,600.000,888.00,6.30
0.6032,600.000,852.60,5.20
0.7346,600.000,852.60,5.20
0.8359,600.000,752.20,5.00
0.9346,600.000,752.20,5.00
1.0345,600.000,752.20,5.00
1.1029,600.000,672.60,4.90
1.2021,600.000,672.60,4.90
1.3361,600.000,610.60,4.60
1.4347,600.000,610.60,4.60
1.5348,600.000,610.60,4.60
1.6033,600.000,595.90,4.80
1.7346,600.000,595.90,4.80
1.8361,600.000,592.90,4.80
1.9348,600.000,592.90,4.80
2.0346,600.000,592.90,4.80
2.1363,600.000,592.90,4.80
2.2347,600.000,592.90,4.80
2.3035,600.000,592.90,4.80
2.4346,600.000,592.90,4.80
2.5349,600.000,592.90,4.80
2.6356,600.000,592.90,4.80
2.7348,600.000,592.90,4.80
2.8348,600.000,592.90,4.80
2.9022,600.000,592.90,4.80
3.0349,600.000,592.90,4.80
3.1366,600.000,592.90,4.80
3.2032,600.000,592.90,4.80
3.3030,600.000,592.90,4.80
3.4029,600.000,592.90,4.90
3.5350,600.000,592.90,4.90
3.6348,600.000,592.90,4.90
3.7363,600.000,592.90,4.90
3.8347,600.000,592.90,4.90
3.9349,600.000,592.90,4.90
4.0347,600.000,592.90,4.90
4.1019,600.000,592.90,4.90
4.2370,600.000,592.90,4.90
4.3348,600.000,592.90,4.90
4.4348,600.000,592.90,4.90
4.5349,600.000,592.90,4.90
4.6349,600.000,592.90,4.90
4.7363,600.000,592.90,4.90
4.8349,600.000,592.90,4.90
4.9028,600.000,592.90,4.90
5.0348,600.000,592.90,4.80
5.1349,600.000,592.90,4.80
5.2365,600.000,592.90,4.80
5.3350,600.000,592.90,4.80
5.4348,600.000,592.90,4.80
5.5349,600.000,592.90,4.80
5.6349,600.000,592.90,4.80
5.7363,600.000,592.90,4.80
5.8006,600.000,592.90,4.80
5.9349,600.000,592.90,4.80
6.0010,600.000,592.90,4.80
6.1014,600.000,592.90,4.80
6.2035,600.000,592.90,4.80
6.3348,600.000,592.90,4.80
6.4363,600.000,592.90,4.80
6.5029,600.000,592.90,4.80
6.6021,600.000,592.90,4.80
6.7369,600.000,592.90,4.90
6.8029,600.000,592.90,4.90
6.9025,600.000,592.90,4.90
7.0009,600.000,592.90,4.90
7.1350,600.000,592.90,4.90
7.2366,600.000,592.90,4.90
7.3350,600.000,592.90,4.90
7.4349,600.000,592.90,4.90
7.5350,600.000,592.90,4.80
7.6349,600.000,592.90,4.80
7.7367,600.000,592.90,4.80
7.8020,600.000,592.90,4.80
7.9348,600.000,592.90,4.80
8.0350,600.000,592.90,4.80
8.1350,600.000,592.90,4.80
8.2358,600.000,592.90,4.80
8.3349,600.000,592.90,4.80
8.4352,600.000,592.90,4.80
8.5351,600.000,592.90,4.80
8.6350,600.000,592.90,4.80
8.7366,600.000,592.90,4.80
8.8350,600.000,592.90,4.80
8.9352,600.000,592.90,4.80
9.0007,600.000,592.90,4.80
9.1023,600.000,592.90,4.80
9.2366,600.000,592.90,4.90
9.3026,600.000,592.90,4.90
9.4350,600.000,592.90,4.90
9.5351,600.000,592.90,4.80
9.6352,600.000,592.90,4.80
9.7044,600.000,592.90,4.90
9.8351,600.000,592.90,4.90
9.9365,600.000,592.90,4.90
10.0366,600.000,592.90,4.90
10.1352,600.000,592.90,4.90
10.2011,600.000,592.90,4.90
10.3028,600.000,592.90,4.80
10.4350,600.000,592.90,4.80
10.5367,600.000,592.90,4.80
10.6030,600.000,592.90,4.80
10.7352,600.000,592.90,4.80
10.8367,600.000,592.90,4.80
10.9351,600.000,592.90,4.80
11.0350,600.000,592.90,4.80
11.1350,600.000,592.90,4.80
11.2022,600.000,592.90,4.80
11.3365,600.000,592.90,4.80
11.4349,600.000,592.90,4.80
11.5352,600.000,592.90,4.80
11.6352,600.000,592.90,4.80
11.7352,600.000,592.90,4.80
11.8369,600.000,592.90,4.80
11.9030,600.000,592.90,4.80
12.0350,600.000,592.90,4.80
12.1351,600.000,592.90,4.90
12.2352,600.000,592.90,4.90
12.3368,600.000,592.90,4.90
12.4352,600.000,592.90,4.90
12.5353,600.000,592.90,4.90
12.6353,600.000,592.90,4.90
12.7351,600.000,592.90,4.90
12.8366,600.000,592.90,4.80
12.9352,600.000,592.90,4.80
13.0351,600.000,592.90,4.80
13.1014,600.000,592.90,4.80
13.2353,600.000,592.90,4.80
13.3360,600.000,592.90,4.80
13.4352,600.000,592.90,4.80
13.5350,600.000,592.90,4.80
13.6352,600.000,592.90,4.80
13.7017,600.000,592.90,4.80
13.8028,600.000,592.90,4.80
13.9350,600.000,592.90,4.80
14.0020,600.000,592.90,4.80
14.1352,600.000,592.90,4.80
14.2352,600.000,592.90,4.80
14.3034,600.000,592.90,4.80
14.4351,600.000,592.90,4.80
14.5370,600.000,592.90,4.80
14.6008,600.000,592.90,4.80
14.7352,600.000,592.90,4.80
14.8037,600.000,592.90,4.80
14.9354,600.000,592.90,4.80
15.0028,600.000,592.90,4.80
15.1352,600.000,592.90,4.80
15.2353,600.000,592.90,4.80
15.3369,600.000,592.90,4.90
15.4351,600.000,592.90,4.90
15.5019,600.000,592.90,4.90
15.6033,600.000,592.90,4.90
15.7352,600.000,592.90,4.90
15.8036,600.000,592.90,4.90
15.9352,600.000,592.90,4.90
16.0370,600.000,592.90,4.90
16.1017,600.000,592.90,4.90
16.2029,600.000,592.90,4.90
16.3035,600.000,592.90,4.80
16.4352,600.000,592.90,4.80
16.5371,600.000,592.90,4.80
16.6354,600.000,592.90,4.80
16.7025,600.000,592.90,4.80
16.8039,600.000,592.90,4.80
16.9032,600.000,592.90,4.80
17.0009,600.000,592.90,4.80
17.1364,600.000,592.90,4.80
17.2353,600.000,592.90,4.80
17.3353,600.000,592.90,4.80
17.4018,600.000,592.90,4.80
17.5351,600.000,592.90,4.80
17.6362,600.000,592.90,4.80
17.7015,600.000,592.90,4.80
17.8353,600.000,592.90,4.80
17.9026,600.000,592.90,4.80
18.0014,600.000,592.90,4.80
18.1367,600.000,592.90,4.90
18.2013,600.000,592.90,4.90
18.3036,600.000,592.90,4.90
18.4374,600.000,592.90,4.90
18.5351,600.000,592.90,4.90
18.6351,600.000,592.90,4.90
18.7018,600.000,592.90,4.90
18.8354,600.000,592.90,4.90
18.9043,600.000,592.90,4.80
19.0020,600.000,592.90,4.80
19.1371,600.000,592.90,4.80
19.2355,600.000,592.90,4.80
19.3025,600.000,592.90,4.80
19.4363,600.000,592.90,4.80
19.5355,600.000,592.90,4.80
19.6355,600.000,592.90,4.80
19.7012,600.000,592.90,4.80
19.8345,600.000,592.90,4.80
19.9354,600.000,592.90,4.80
20.0026,600.000,592.90,4.80
20.1352,600.000,592.90,4.80
