t_s,cmd_hz,meas_hz,meas_a
0.0007,500.000,492.60,4.50
0.0554,500.000,492.60,4.50
0.1055,500.000,492.60,4.50
0.1523,500.000,492.60,4.50
0.2060,500.000,492.60,4.50
0.2560,500.000,492.60,4.50
0.3025,500.000,492.60,4.50
0.3545,500.000,492.60,4.50
0.4047,500.000,492.60,4.50
0.4524,500.000,492.60,4.50
0.5059,500.000,492.60,4.50
0.5536,500.000,492.60,4.50
0.6025,500.000,492.60,4.50
0.6543,500.000,492.60,4.50
0.7044,500.000,492.60,4.50
0.7517,500.000,492.60,4.50
0.8061,500.000,492.60,4.50
0.8514,500.000,492.60,4.50
0.9049,500.000,495.60,4.50
0.9517,500.000,495.60,4.50
1.0025,500.000,495.60,4.50
1.0525,500.000,495.60,4.50
1.1073,500.000,495.60,4.50
1.1524,500.000,495.60,4.50
1.2061,500.000,495.60,4.50
1.2512,500.000,495.60,4.50
1.3046,500.000,495.60,4.50
1.3556,500.000,495.60,4.50
1.4064,500.000,495.60,4.50
1.4552,500.000,495.60,4.50
1.5024,500.000,495.60,4.50
1.5516,500.000,495.60,4.50
1.6057,500.000,495.60,4.50
1.6512,500.000,495.60,4.50
1.7049,500.000,495.60,4.40
1.7534,500.000,495.60,4.40
1.8056,500.000,495.60,4.40
1.8552,500.000,495.60,4.40
1.9068,500.000,495.60,4.40
1.9526,500.000,495.60,4.40
2.0027,500.000,495.60,4.40
2.0513,500.000,495.60,4.40
2.1024,500.000,495.60,4.40
2.1525,500.000,495.60,4.40
2.2025,500.000,495.60,4.50
2.2526,500.000,495.60,4.50
2.3026,500.000,495.60,4.50
2.3514,500.000,495.60,4.50
2.4024,500.000,495.60,4.50
2.4552,500.000,495.60,4.50
2.5012,500.000,495.60,4.50
2.5509,500.000,495.60,4.50
2.6064,500.000,495.60,4.50
2.6556,500.000,495.60,4.50
2.7023,500.000,495.60,4.50
2.7518,500.000,495.60,4.50
2.8014,500.000,495.60,4.50
2.8559,500.000,495.60,4.50
2.9064,500.000,495.60,4.50
2.9523,500.000,495.60,4.50
3.0025,500.000,495.60,4.50
3.0557,500.000,495.60,4.50
3.1026,500.000,495.60,4.50
3.1515,500.000,495.60,4.50
3.2046,500.000,495.60,4.50
3.2524,500.000,495.60,4.50
3.3017,500.000,495.60,4.50
3.3526,500.000,495.60,4.50
3.4039,500.000,495.60,4.50
3.4551,500.000,495.60,4.50
3.5026,500.000,495.60,4.50
3.5536,500.000,495.60,4.50
3.6019,500.000,495.60,4.50
3.6531,500.000,495.60,4.50
3.7023,500.000,495.60,4.50
3.7523,500.000,495.60,4.50
3.8052,500.000,495.60,4.50
3.8553,500.000,495.60,4.50
3.9023,500.000,495.60,4.40
3.9526,500.000,495.60,4.40
4.0026,500.000,495.60,4.40
4.0526,500.000,495.60,4.40
4.1041,500.000,495.60,4.50
4.1536,500.000,495.60,4.50
4.2031,500.000,495.60,4.50
4.2523,500.000,495.60,4.50
4.3046,500.000,495.60,4.50
4.3525,500.000,495.60,4.50
4.4050,500.000,495.60,4.50
4.4545,500.000,495.60,4.50
4.5060,500.000,495.60,4.50
4.5514,500.000,495.60,4.50
4.6067,500.000,495.60,4.50
4.6514,500.000,495.60,4.50
4.7024,500.000,495.60,4.50
4.7530,500.000,495.60,4.50
4.8016,500.000,495.60,4.50
4.8525,500.000,495.60,4.50
4.9075,500.000,495.60,4.50
4.9525,500.000,495.60,4.50
5.0014,500.000,495.60,4.50
5.0525,500.077,495.60,4.50
5.1036,500.308,495.60,4.50
5.1525,500.693,495.60,4.50
5.2019,501.231,495.60,4.50
5.2552,501.921,495.60,4.50
5.3017,502.763,495.60,4.50
5.3524,503.754,495.60,4.50
5.4035,504.894,495.60,4.50
5.4553,506.181,495.60,4.50
5.5060,507.612,495.60,4.50
5.5525,509.186,495.60,4.50
5.6024,510.899,495.60,4.50
5.6525,512.750,495.60,4.50
5.7060,514.736,498.60,4.60
5.7525,516.853,498.60,4.60
5.8021,519.098,498.60,4.60
5.8520,521.468,498.60,4.60
5.9017,523.959,501.50,4.60
5.9524,526.568,501.50,4.60
6.0060,529.289,501.50,4.60
6.0524,532.120,501.50,4.60
6.1071,535.055,510.40,4.70
6.1527,538.091,510.40,4.70
6.2040,541.221,513.30,4.70
6.2529,544.443,513.30,4.70
6.3061,547.750,513.30,4.70
6.3552,551.138,513.30,4.70
6.4031,554.601,522.20,4.90
6.4559,558.134,522.20,4.90
6.5019,561.732,522.20,4.90
6.5530,565.388,522.20,4.90
6.6028,569.098,522.20,4.90
6.6557,572.856,522.20,4.90
6.7039,576.655,539.80,5.00
6.7527,580.491,539.80,5.00
6.8025,584.357,539.80,5.00
6.8555,588.246,539.80,5.00
6.9025,592.154,539.80,5.00
6.9560,596.074,539.80,5.00
7.0036,600.000,563.40,5.20
7.0524,603.926,563.40,5.20
7.1057,607.846,563.40,5.20
7.1538,611.754,563.40,5.20
7.2027,615.643,563.40,5.20
7.2525,619.509,563.40,5.20
7.3060,623.345,578.20,5.20
7.3525,627.144,578.20,5.20
7.4030,630.902,578.20,5.20
7.4553,634.612,578.20,5.20
7.5040,638.268,601.80,5.30
7.5514,641.866,601.80,5.30
7.6031,645.399,601.80,5.30
7.6559,648.862,601.80,5.30
7.7026,652.250,601.80,5.30
7.7551,655.557,601.80,5.30
7.8018,658.779,622.40,5.40
7.8553,661.909,622.40,5.40
7.9006,664.945,622.40,5.40
7.9556,667.880,622.40,5.40
8.0062,670.711,637.20,5.50
8.0543,673.432,637.20,5.50
8.1055,676.041,637.20,5.50
8.1553,678.532,637.20,5.50
8.2077,680.902,652.00,5.50
8.2557,683.147,652.00,5.50
8.3030,685.264,657.80,5.50
8.3556,687.250,657.80,5.50
8.4034,689.101,657.80,5.50
8.4559,690.814,657.80,5.50
8.5041,692.388,669.60,5.50
8.5526,693.819,669.60,5.50
8.6057,695.106,669.60,5.50
8.6527,696.246,669.60,5.50
8.7027,697.237,669.60,5.50
8.7524,698.079,669.60,5.50
8.8031,698.769,681.40,5.50
8.8527,699.307,681.40,5.50
8.9027,699.692,681.40,5.50
8.9561,699.923,681.40,5.50
9.0041,700.000,687.40,5.50
9.0526,699.923,687.40,5.50
9.1033,699.692,687.40,5.50
9.1527,699.307,687.40,5.50
9.2035,698.769,687.40,5.50
9.2527,698.079,687.40,5.50
9.3012,697.237,693.20,5.40
9.3556,696.246,693.20,5.40
9.4026,695.106,693.20,5.40
9.4560,693.819,693.20,5.40
9.5075,692.388,693.20,5.30
9.5509,690.814,693.20,5.30
9.6057,689.101,693.20,5.30
9.6526,687.250,693.20,5.30
9.7025,685.264,693.20,5.30
9.7514,683.147,693.20,5.30
9.8059,680.902,687.40,5.10
