t_s,cmd_hz,meas_hz,meas_a
0.0001,600.000,366.30,203.90
0.0602,800.000,376.90,209.50
0.1086,800.000,385.60,214.20
0.1602,800.000,399.80,222.10
0.2034,800.000,406.90,225.60
0.2570,800.000,423.90,235.00
0.3053,800.000,434.50,241.40
0.3591,800.000,445.30,246.30
0.4100,800.000,456.00,253.00
0.4600,800.000,469.30,259.90
0.5100,800.000,477.60,265.00
0.5600,800.000,490.80,271.80
0.6027,800.000,499.60,276.50
0.6601,800.000,511.30,283.40
0.7100,800.000,523.90,290.70
0.7600,800.000,536.70,297.70
0.8050,800.000,548.40,303.90
0.8517,800.000,559.30,309.40
0.9065,800.000,573.00,317.40
0.9602,800.000,584.40,323.10
1.0080,800.000,598.20,330.60
1.0565,800.000,600.70,332.50
