t_s,cmd_hz,meas_hz,meas_a
0.0006,1800.000,1778.80,13.60
0.0555,1800.000,1778.80,13.60
0.1050,1800.000,1778.80,13.60
0.1535,1800.000,1778.80,13.60
0.2032,1800.000,1778.80,13.60
0.2521,1800.000,1778.80,13.60
0.3060,1800.000,1778.80,13.60
0.3558,1800.000,1778.80,13.60
0.4077,1800.000,1778.80,13.60
0.4557,1800.000,1778.80,13.60
0.5052,1800.000,1778.80,13.60
0.5547,1800.000,1778.80,13.60
0.6058,1800.000,1778.80,13.60
0.6557,1800.000,1778.80,13.60
0.7017,1800.000,1778.80,13.70
0.7557,1800.000,1778.80,13.70
0.8055,1800.000,1778.80,13.70
0.8526,1800.000,1778.80,13.70
0.9040,1800.000,1778.80,13.60
0.9559,1800.000,1778.80,13.60
1.0032,1800.000,1778.80,13.60
1.0562,1800.000,1778.80,13.60
1.1017,1800.000,1778.80,13.60
1.1533,1800.000,1778.80,13.60
1.2053,1800.000,1778.80,13.60
1.2555,1800.000,1778.80,13.60
1.3056,1800.000,1778.80,13.60
1.3536,1800.000,1778.80,13.60
1.4067,1800.000,1778.80,13.60
1.4558,1800.000,1778.80,13.60
1.5013,1800.000,1778.80,13.60
1.5555,1800.000,1778.80,13.60
1.6009,1800.000,1778.80,13.60
1.6557,1800.000,1778.80,13.60
1.7057,1800.000,1778.80,13.70
1.7558,1800.000,1778.80,13.70
1.8031,1800.000,1778.80,13.70
1.8558,1800.000,1778.80,13.70
1.9076,1800.000,1778.80,13.70
1.9514,1800.000,1778.80,13.70
2.0016,1800.000,1778.80,13.70
2.0545,1800.000,1778.80,13.70
2.1020,1800.000,1778.80,13.70
2.1523,1800.000,1778.80,13.70
2.2039,1800.000,1778.80,13.60
2.2517,1800.000,1778.80,13.60
2.3060,1800.000,1778.80,13.60
2.3540,1800.000,1778.80,13.60
2.4075,1800.000,1778.80,13.60
2.4543,1800.000,1778.80,13.60
2.5047,1800.000,1778.80,13.60
2.5520,1800.000,1778.80,13.60
2.6068,1800.000,1778.80,13.60
2.6516,1800.000,1778.80,13.60
2.7021,1800.000,1778.80,13.70
2.7536,1800.000,1778.80,13.70
2.8019,1800.000,1778.80,13.70
2.8557,1800.000,1778.80,13.70
2.9074,1800.000,1778.80,13.70
2.9522,1800.000,1778.80,13.70
3.0017,1800.000,1778.80,13.70
3.0513,1800.000,1778.80,13.70
3.1060,1800.000,1778.80,13.70
3.1529,1800.000,1778.80,13.70
3.2077,1800.000,1778.80,13.60
3.2539,1800.000,1778.80,13.60
3.3059,1800.000,1778.80,13.60
3.3527,1800.000,1778.80,13.60
3.4020,1800.000,1778.80,13.60
3.4536,1800.000,1778.80,13.60
3.5074,1800.000,1778.80,13.60
3.5542,1800.000,1778.80,13.60
3.6061,1800.000,1778.80,13.60
3.6551,1800.000,1778.80,13.60
3.7050,1800.000,1778.80,13.60
3.7521,1800.000,1778.80,13.60
3.8058,1800.000,1778.80,13.70
3.8517,1800.000,1778.80,13.70
3.9012,1800.000,1778.80,13.70
3.9557,1800.000,1778.80,13.70
4.0067,1800.000,1778.80,13.70
4.0523,1800.000,1778.80,13.70
4.1040,1800.000,1778.80,13.70
4.1556,1800.000,1778.80,13.70
4.2052,1800.000,1778.80,13.70
4.2558,1800.000,1778.80,13.70
4.3054,1800.000,1778.80,13.70
4.3531,1800.000,1778.80,13.70
4.4058,1800.000,1778.80,13.70
4.4549,1800.000,1778.80,13.70
4.5070,1800.000,1778.80,13.70
4.5524,1800.000,1778.80,13.70
4.6016,1800.000,1778.80,13.70
4.6519,1800.000,1778.80,13.70
4.7057,1800.000,1778.80,13.70
4.7550,1800.000,1778.80,13.70
4.8007,1800.000,1778.80,13.70
4.8557,1800.000,1778.80,13.70
4.9055,1800.000,1778.80,13.70
4.9559,1800.000,1778.80,13.70
5.0055,1800.000,1778.80,13.70
5.0558,1800.116,1778.80,13.70
5.1017,1800.462,1778.80,13.70
5.1559,1801.040,1778.80,13.70
5.2015,1801.847,1778.80,13.70
5.2514,1802.882,1778.80,13.70
5.3009,1804.145,1778.80,13.60
5.3558,1805.632,1778.80,13.60
5.4060,1807.342,1778.80,13.60
5.4517,1809.271,1778.80,13.60
5.5068,1811.418,1781.80,13.70
5.5558,1813.779,1781.80,13.70
5.6059,1816.349,1781.80,13.70
5.6523,1819.126,1781.80,13.70
5.7128,1822.104,1784.80,13.80
5.7575,1825.280,1784.80,13.80
5.8043,1828.647,1784.80,13.80
5.8530,1832.202,1784.80,13.80
5.9056,1835.939,1784.80,13.80
5.9528,1839.852,1784.80,13.80
6.0030,1843.934,1796.60,14.00
6.0524,1848.180,1796.60,14.00
6.1059,1852.583,1796.60,14.00
6.1558,1857.136,1796.60,14.00
6.2077,1861.832,1808.40,14.20
6.2507,1866.664,1808.40,14.20
6.3024,1871.625,1808.40,14.20
6.3546,1876.707,1808.40,14.20
6.4060,1881.901,1808.40,14.20
6.4537,1887.201,1808.40,14.20
6.5075,1892.597,1832.00,14.50
