t_s,cmd_hz,meas_hz,meas_a
0.0005,900.000,893.80,6.70
0.0513,900.000,893.80,6.70
0.1353,900.000,893.80,6.70
0.1508,900.000,893.80,6.70
0.2032,900.000,893.80,6.70
0.2508,900.000,893.80,6.70
0.3353,900.000,893.80,6.70
0.3529,900.000,893.80,6.70
0.4366,900.000,893.80,6.70
0.4539,900.000,893.80,6.70
0.5013,900.000,893.80,6.70
0.5559,900.000,893.80,6.70
0.6353,900.000,893.80,6.70
0.6543,900.000,893.80,6.70
0.7353,900.000,893.80,6.70
0.7543,900.000,893.80,6.70
0.8354,900.000,893.80,6.70
0.8542,900.000,893.80,6.70
0.9372,900.000,893.80,6.70
0.9517,900.000,893.80,6.70
1.0009,900.000,893.80,6.70
1.0518,900.000,893.80,6.70
1.1355,900.000,893.80,6.70
1.1533,900.000,893.80,6.70
1.2354,900.000,893.80,6.70
1.2542,900.000,893.80,6.70
1.3353,900.000,893.80,6.70
1.3531,900.000,893.80,6.70
1.4370,900.000,893.80,6.70
1.4538,900.000,893.80,6.70
1.5353,900.000,893.80,6.70
1.5543,900.000,893.80,6.70
1.6039,900.000,893.80,6.70
1.6556,900.000,893.80,6.70
1.7353,900.000,893.80,6.70
1.7543,900.000,893.80,6.70
1.8354,900.000,893.80,6.70
1.8541,900.000,893.80,6.70
1.9368,900.000,893.80,6.60
1.9537,900.000,893.80,6.60
2.0355,900.000,893.80,6.60
2.0541,900.000,893.80,6.60
2.1027,900.000,893.80,6.60
2.1552,900.000,893.80,6.60
2.2010,900.000,893.80,6.60
2.2516,900.000,893.80,6.60
2.3015,900.000,893.80,6.60
2.3558,900.000,893.80,6.60
2.4371,900.000,893.80,6.70
2.4537,900.000,893.80,6.70
2.5354,900.000,893.80,6.70
2.5515,900.000,893.80,6.70
2.6356,900.000,893.80,6.70
2.6539,900.000,893.80,6.70
2.7355,900.000,893.80,6.70
2.7541,900.000,893.80,6.70
2.8356,900.000,893.80,6.70
2.8543,900.000,893.80,6.70
2.9371,900.000,893.80,6.60
2.9538,900.000,893.80,6.60
3.0356,900.000,893.80,6.60
3.0544,900.000,893.80,6.60
3.1356,900.000,893.80,6.60
3.1538,900.000,893.80,6.60
3.2371,900.000,893.80,6.60
3.2538,900.000,893.80,6.60
3.3010,900.000,893.80,6.60
3.3559,900.000,893.80,6.60
3.4355,900.000,893.80,6.60
3.4541,900.000,893.80,6.60
3.5370,900.000,893.80,6.60
3.5539,900.000,893.80,6.60
3.6353,900.000,893.80,6.60
3.6542,900.000,893.80,6.60
3.7355,900.000,893.80,6.60
3.7542,900.000,893.80,6.60
3.8355,900.000,893.80,6.60
3.8543,900.000,893.80,6.60
3.9355,900.000,893.80,6.60
3.9544,900.000,893.80,6.60
4.0370,900.000,893.80,6.60
4.0538,900.000,893.80,6.60
4.1355,900.000,893.80,6.60
4.1538,900.000,893.80,6.60
4.2013,900.000,893.80,6.60
4.2538,900.000,893.80,6.60
4.3008,900.000,893.80,6.60
4.3547,900.000,893.80,6.60
4.4356,900.000,893.80,6.60
4.4543,900.000,893.80,6.60
4.5374,900.000,893.80,6.60
4.5516,900.000,893.80,6.60
4.6356,900.000,893.80,6.60
4.6542,900.000,893.80,6.60
4.7357,900.000,893.80,6.60
4.7542,900.000,893.80,6.60
4.8038,900.000,893.80,6.60
4.8559,900.000,893.80,6.60
4.9355,900.000,893.80,6.60
4.9521,900.000,893.80,6.60
5.0376,900.000,893.80,6.60
5.0537,901.183,893.80,6.60
5.1356,904.713,893.80,6.60
5.1540,910.534,893.80,6.60
