t_s,cmd_hz,meas_hz,meas_a
0.0002,600.000,367.60,204.60
0.0602,800.000,378.80,210.00
0.1048,800.000,385.90,214.40
0.1585,800.000,400.60,222.50
0.2102,800.000,409.60,227.10
0.2595,800.000,422.00,233.70
0.3101,800.000,436.80,242.60
0.3526,800.000,444.90,246.00
0.4100,800.000,457.20,253.70
0.4508,800.000,468.30,259.40
0.5101,800.000,478.70,265.60
0.5600,800.000,491.90,272.40
0.6100,800.000,502.50,278.00
0.6601,800.000,512.40,284.00
0.7100,800.000,525.10,291.30
0.7600,800.000,537.90,298.30
0.8102,800.000,550.80,305.20
0.8530,800.000,560.70,310.20
0.9033,800.000,569.30,314.70
0.9540,800.000,584.10,322.90
