t_s,cmd_hz,meas_hz,meas_a
0.0001,600.000,552.70,306.40
0.0509,800.000,554.80,306.50
0.1021,800.000,560.30,310.00
0.1548,800.000,567.80,313.90
0.2052,800.000,568.10,314.70
0.2515,800.000,575.90,318.60
0.3052,800.000,579.70,321.00
0.3538,800.000,591.10,327.50
0.4050,800.000,595.90,330.30
0.4550,800.000,605.00,335.20
0.5050,800.000,614.30,339.70
0.5550,800.000,619.20,342.10
0.6050,800.000,632.80,350.30
0.6526,800.000,639.90,353.60
0.7051,800.000,648.20,358.70
0.7550,800.000,653.80,361.70
0.8051,800.000,669.40,370.20
0.8551,800.000,681.60,376.70
0.9036,800.000,691.40,382.60
0.9551,800.000,700.40,387.50
1.0052,800.000,706.50,390.10
1.0519,800.000,708.70,391.90
1.1004,800.000,715.30,395.50
1.1538,800.000,724.10,400.70
1.2017,800.000,726.40,401.80
1.2538,800.000,733.20,405.60
1.3051,800.000,732.10,404.80
1.3522,800.000,732.80,404.90
1.4013,800.000,726.50,401.50
1.4514,800.000,729.20,403.40
1.5051,800.000,728.00,402.20
1.5539,800.000,729.90,403.40
1.6012,800.000,723.50,399.20
1.6539,800.000,725.60,401.00
1.7035,800.000,726.30,401.50
1.7506,800.000,718.10,396.50
1.8045,800.000,716.80,396.30
1.8539,800.000,712.20,393.80
1.9004,800.000,707.10,390.90
1.9549,800.000,694.70,384.00
2.0052,800.000,694.40,383.60
2.0527,800.000,688.90,381.10
2.1039,800.000,683.10,378.10
2.1511,800.000,673.70,372.10
2.2052,800.000,675.40,373.50
2.2536,800.000,665.80,368.70
2.3017,800.000,659.40,364.80
2.3539,800.000,649.90,359.70
2.4052,800.000,649.40,359.00
2.4509,800.000,641.60,354.50
2.5003,800.000,633.20,350.70
2.5552,800.000,626.50,346.70
2.6012,800.000,620.50,343.10
2.6526,800.000,611.10,339.00
2.7052,800.000,605.40,334.40
2.7549,800.000,597.30,330.90
2.8028,800.000,590.50,326.50
2.8551,800.000,582.20,321.80
2.9051,800.000,579.10,321.00
2.9505,800.000,565.60,312.80
3.0051,800.000,554.30,306.50
3.0551,800.000,555.70,307.50
3.1003,800.000,550.70,304.90
3.1517,800.000,538.30,297.70
3.2050,800.000,531.20,294.10
3.2506,800.000,525.90,291.00
3.3038,800.000,514.00,284.70
3.3539,800.000,506.20,280.30
3.4020,800.000,498.00,275.80
3.4552,800.000,491.70,272.70
3.5051,800.000,482.60,267.40
3.5551,800.000,481.20,267.00
3.6051,800.000,466.20,258.40
3.6545,800.000,460.30,254.90
3.7018,800.000,450.30,250.10
3.7532,800.000,444.10,246.10
3.8039,800.000,431.30,239.20
3.8552,800.000,427.20,237.20
3.9031,800.000,418.60,231.80
3.9544,800.000,410.80,228.10
4.0044,800.000,403.90,224.20
4.0552,800.000,394.20,219.10
4.1010,800.000,389.80,215.30
4.1516,800.000,381.10,211.60
4.2052,800.000,372.10,206.80
4.2577,800.000,363.20,201.60
4.3051,800.000,357.60,198.30
