t_s,cmd_hz,meas_hz,meas_a
0.0006,900.000,890.90,6.60
0.0811,900.000,890.90,6.60
0.1037,900.000,890.90,6.60
0.1811,900.000,890.90,6.60
0.2013,900.000,890.90,6.60
0.2810,900.000,890.90,6.60
0.3073,900.000,890.90,6.60
0.3812,900.000,890.90,6.60
0.4055,900.000,890.90,6.60
0.4811,900.000,890.90,6.60
0.5055,900.000,890.90,6.60
0.5811,900.000,890.90,6.60
0.6024,900.000,890.90,6.50
0.6809,900.000,890.90,6.50
0.7013,900.000,890.90,6.50
0.7812,900.000,890.90,6.50
0.8015,900.000,890.90,6.50
0.8811,900.000,890.90,6.50
0.9062,900.000,890.90,6.50
0.9811,900.000,890.90,6.50
1.0055,900.000,890.90,6.50
1.0810,900.000,890.90,6.50
1.1020,900.000,890.90,6.50
1.1810,900.000,890.90,6.50
1.2053,900.000,890.90,6.50
1.2810,900.000,890.90,6.50
1.3054,900.000,890.90,6.50
1.3812,900.000,890.90,6.50
1.4049,900.000,890.90,6.60
1.4812,900.000,890.90,6.60
1.5055,900.000,890.90,6.60
1.5812,900.000,890.90,6.60
1.6039,900.000,890.90,6.60
1.6811,900.000,890.90,6.60
1.7056,900.000,893.80,6.60
1.7813,900.000,893.80,6.60
1.8053,900.000,893.80,6.60
1.8811,900.000,893.80,6.60
1.9071,900.000,893.80,6.60
1.9810,900.000,893.80,6.60
2.0055,900.000,893.80,6.60
2.0812,900.000,893.80,6.60
2.1055,900.000,893.80,6.60
2.1810,900.000,893.80,6.60
2.2045,900.000,893.80,6.60
2.2812,900.000,893.80,6.60
2.3021,900.000,893.80,6.60
2.3810,900.000,893.80,6.60
2.4071,900.000,893.80,6.60
2.4812,900.000,893.80,6.60
2.5017,900.000,893.80,6.60
2.5813,900.000,893.80,6.60
2.6039,900.000,893.80,6.60
2.6811,900.000,893.80,6.60
2.7039,900.000,893.80,6.60
2.7813,900.000,893.80,6.60
2.8017,900.000,893.80,6.60
2.8812,900.000,893.80,6.60
2.9063,900.000,893.80,6.60
2.9812,900.000,893.80,6.60
3.0054,900.000,893.80,6.60
3.0812,900.000,893.80,6.60
3.1017,900.000,893.80,6.60
3.1812,900.000,893.80,6.60
3.2056,900.000,893.80,6.60
3.2810,900.000,893.80,6.60
3.3013,900.000,893.80,6.60
3.3812,900.000,893.80,6.60
3.4071,900.000,893.80,6.60
3.4813,900.000,893.80,6.60
3.5025,900.000,893.80,6.60
3.5810,900.000,893.80,6.60
3.6034,900.000,893.80,6.60
3.6812,900.000,893.80,6.60
3.7040,900.000,893.80,6.60
3.7812,900.000,893.80,6.60
3.8055,900.000,893.80,6.60
3.8811,900.000,893.80,6.60
3.9069,900.000,893.80,6.70
3.9813,900.000,893.80,6.70
4.0056,900.000,893.80,6.70
4.0813,900.000,893.80,6.70
4.1053,900.000,893.80,6.70
4.1812,900.000,893.80,6.70
4.2023,900.000,893.80,6.70
4.2813,900.000,893.80,6.70
4.3053,900.000,893.80,6.70
4.3814,900.000,893.80,6.70
4.4069,900.000,893.80,6.60
4.4813,900.000,893.80,6.60
4.5055,900.000,893.80,6.60
4.5814,900.000,893.80,6.60
4.6055,900.000,893.80,6.60
4.6830,900.000,893.80,6.60
4.7038,900.000,893.80,6.60
4.7811,900.000,893.80,6.60
4.8053,900.000,893.80,6.60
4.8812,900.000,893.80,6.60
4.9038,900.000,893.80,6.60
4.9814,900.000,893.80,6.60
5.0053,900.000,893.80,6.60
5.0814,900.116,893.80,6.60
5.1073,900.462,893.80,6.60
5.1813,901.040,893.80,6.60
5.2055,901.847,893.80,6.60
5.2815,902.882,893.80,6.60
5.3038,904.145,893.80,6.60
5.3812,905.632,893.80,6.60
5.4046,907.342,893.80,6.70
5.4814,909.271,893.80,6.70
5.5055,911.418,893.80,6.70
5.5813,913.779,893.80,6.70
5.6073,916.349,896.80,6.80
5.6812,919.126,896.80,6.80
5.7055,922.104,896.80,6.90
5.7815,925.280,896.80,6.90
5.8055,928.647,896.80,6.90
5.8811,932.202,896.80,6.90
5.9026,935.939,905.60,7.10
5.9813,939.852,905.60,7.10
6.0054,943.934,905.60,7.10
6.0814,948.180,905.60,7.10
6.1074,952.583,914.50,7.40
6.1814,957.136,914.50,7.40
6.2009,961.832,920.40,7.50
6.2814,966.664,920.40,7.50
6.3056,971.625,920.40,7.50
6.3813,976.707,920.40,7.50
6.4059,981.901,935.20,7.80
6.4814,987.201,935.20,7.80
6.5055,992.597,935.20,7.80
6.5813,998.082,935.20,7.80
6.6053,1003.647,935.20,7.80
6.6814,1009.284,935.20,7.80
6.7052,1014.983,961.70,8.20
6.7814,1020.736,961.70,8.20
6.8021,1026.535,961.70,8.20
6.8814,1032.369,961.70,8.20
6.9063,1038.231,982.40,8.50
6.9813,1044.111,982.40,8.50
7.0023,1050.000,982.40,8.50
7.0814,1055.889,982.40,8.50
7.1013,1061.769,982.40,8.50
7.1813,1067.631,982.40,8.50
7.2040,1073.465,1014.80,8.90
7.2812,1079.264,1014.80,8.90
7.3033,1085.017,1014.80,8.90
7.3814,1090.716,1014.80,8.90
7.4021,1096.353,1014.80,8.90
7.4812,1101.918,1014.80,8.90
7.5062,1107.403,1050.20,9.10
7.5813,1112.799,1050.20,9.10
7.6039,1118.099,1050.20,9.10
7.6814,1123.293,1050.20,9.10
7.7034,1128.375,1050.20,9.10
7.7814,1133.336,1050.20,9.10
7.8055,1138.168,1070.80,9.30
7.8814,1142.864,1070.80,9.30
7.9036,1147.417,1070.80,9.30
7.9813,1151.820,1070.80,9.30
8.0025,1156.066,1103.30,9.40
8.0815,1160.148,1103.30,9.40
8.1055,1164.061,1103.30,9.40
8.1815,1167.798,1103.30,9.40
8.2065,1171.353,1124.00,9.40
8.2815,1174.720,1124.00,9.40
8.3055,1177.896,1124.00,9.40
8.3814,1180.874,1124.00,9.40
8.4043,1183.651,1124.00,9.40
8.4814,1186.221,1124.00,9.40
8.5071,1188.582,1150.50,9.50
8.5815,1190.729,1150.50,9.50
8.6025,1192.658,1150.50,9.50
