t_s,cmd_hz,meas_hz,meas_a
0.0009,900.000,893.80,6.70
0.1375,600.000,893.80,6.70
0.2364,600.000,893.80,6.70
0.3364,600.000,893.80,6.70
0.4366,600.000,888.00,6.30
0.5016,600.000,888.00,6.30
0.6025,600.000,855.50,5.20
0.7015,600.000,855.50,5.20
0.8381,600.000,755.20,5.00
0.9363,600.000,755.20,5.00
1.0367,600.000,755.20,5.00
1.1380,600.000,646.00,4.50
1.2368,600.000,646.00,4.50
1.3367,600.000,646.00,4.50
1.4050,600.000,610.60,4.60
1.5368,600.000,610.60,4.60
1.6381,600.000,592.90,4.80
1.7366,600.000,592.90,4.80
1.8366,600.000,592.90,4.80
1.9010,600.000,592.90,4.80
2.0365,600.000,592.90,4.80
2.1381,600.000,590.00,4.90
2.2367,600.000,590.00,4.90
2.3046,600.000,590.00,4.90
2.4364,600.000,592.90,4.90
2.5045,600.000,592.90,4.90
2.6379,600.000,592.90,4.90
2.7364,600.000,592.90,4.90
2.8043,600.000,592.90,4.90
2.9365,600.000,592.90,4.80
3.0034,600.000,592.90,4.80
3.1012,600.000,592.90,4.80
3.2380,600.000,592.90,4.80
3.3368,600.000,592.90,4.80
3.4368,600.000,592.90,4.80
3.5368,600.000,592.90,4.80
3.6366,600.000,592.90,4.80
3.7047,600.000,592.90,4.80
3.8368,600.000,592.90,4.80
3.9386,600.000,592.90,4.80
4.0367,600.000,592.90,4.80
4.1368,600.000,592.90,4.80
4.2039,600.000,592.90,4.80
4.3052,600.000,592.90,4.80
4.4384,600.000,592.90,4.80
4.5010,600.000,592.90,4.80
4.6365,600.000,592.90,4.80
4.7384,600.000,592.90,4.90
4.8367,600.000,592.90,4.90
4.9043,600.000,592.90,4.90
5.0366,600.000,592.90,4.90
5.1368,600.000,592.90,4.90
5.2386,600.000,592.90,4.90
5.3366,600.000,592.90,4.90
5.4057,600.000,592.90,4.90
5.5054,600.000,592.90,4.90
5.6367,600.000,592.90,4.90
5.7382,600.000,592.90,4.80
5.8021,600.000,592.90,4.80
5.9029,600.000,592.90,4.80
6.0022,600.000,592.90,4.80
6.1041,600.000,592.90,4.80
6.2061,600.000,592.90,4.80
6.3037,600.000,592.90,4.80
6.4027,600.000,592.90,4.80
6.5367,600.000,592.90,4.80
6.6050,600.000,592.90,4.80
6.7383,600.000,592.90,4.80
6.8367,600.000,592.90,4.80
6.9034,600.000,592.90,4.80
7.0367,600.000,592.90,4.80
7.1030,600.000,592.90,4.80
7.2048,600.000,592.90,4.80
7.3367,600.000,592.90,4.80
7.4031,600.000,592.90,4.80
7.5022,600.000,592.90,4.80
7.6368,600.000,592.90,4.80
7.7032,600.000,592.90,4.80
7.8026,600.000,592.90,4.80
7.9377,600.000,592.90,4.80
8.0021,600.000,592.90,4.80
8.1369,600.000,592.90,4.80
8.2040,600.000,592.90,4.90
8.3370,600.000,592.90,4.90
8.4019,600.000,592.90,4.90
8.5055,600.000,592.90,4.80
8.6368,600.000,592.90,4.80
8.7390,600.000,592.90,4.80
8.8015,600.000,592.90,4.80
8.9369,600.000,592.90,4.80
9.0369,600.000,592.90,4.80
9.1370,600.000,592.90,4.80
9.2383,600.000,592.90,4.80
9.3369,600.000,592.90,4.80
9.4049,600.000,592.90,4.80
9.5040,600.000,592.90,4.80
9.6369,600.000,592.90,4.80
9.7386,600.000,592.90,4.80
9.8369,600.000,592.90,4.80
9.9367,600.000,592.90,4.80
10.0376,600.000,592.90,4.80
10.1033,600.000,592.90,4.80
10.2367,600.000,592.90,4.80
10.3057,600.000,592.90,4.90
10.4031,600.000,592.90,4.90
10.5379,600.000,592.90,4.90
10.6371,600.000,592.90,4.90
10.7369,600.000,592.90,4.90
10.8386,600.000,592.90,4.80
10.9371,600.000,592.90,4.80
11.0053,600.000,592.90,4.80
