# blade,v2_Ra20
# notes,"PETG, 0.2mm, Ra 20"
# fan_rpm,500
# wind_mps,10.24
# instrument,"Chroma,63004-150-60,630041501113,2.01"
# protocol,94bed28333f7
# protocol_detail,scaling=v2;step=0.02000;frac=0.0000;dwell=1.00;voff=0.500;range=low;floor=0.00000;operate=80.0;collapse=0.700;confirm=2
fan_rpm,wind_mps,blade,demand_a,held_a,volts,amps,watts,tracking,note,fan_rpm_actual,motor_amps
800,16.63,v2_Ra20,0.0269,0.0269,5.1575,0.0269,0.1387,1,,794,5.90
800,16.63,v2_Ra20,0.0307,0.0307,4.8274,0.0307,0.1482,1,,794,5.90
800,16.63,v2_Ra20,0.0346,0.0346,4.5201,0.0346,0.1564,1,,794,5.90
800,16.63,v2_Ra20,0.0384,0.0384,4.4388,0.0384,0.1704,1,,794,5.90
800,16.63,v2_Ra20,0.0423,0.0423,3.9729,0.0423,0.1681,1,,794,5.90
800,16.63,v2_Ra20,0.0461,0.0461,3.4461,0.0461,0.1589,1,,794,5.90
800,16.63,v2_Ra20,0.0499,0.0499,3.3496,0.0499,0.1671,1,,794,5.90
800,16.63,v2_Ra20,0.0538,0.0538,3.2885,0.0538,0.1769,1,,794,5.90
800,16.63,v2_Ra20,0.0576,0.0576,3.0166,0.0576,0.1738,1,,794,5.90
800,16.63,v2_Ra20,0.0615,0.0615,2.8431,0.0615,0.1749,1,,794,5.90
800,16.63,v2_Ra20,0.0653,0.0653,2.2410,0.0653,0.1463,1,,794,5.90
800,16.63,v2_Ra20,0.0691,0.0691,2.3518,0.0691,0.1625,1,,794,5.90
800,16.63,v2_Ra20,0.0730,0.0730,1.8594,0.0730,0.1357,1,,794,5.90
800,16.63,v2_Ra20,0.0768,0.0768,1.7305,0.0768,0.1329,1,,794,5.90
900,18.76,v2_Ra20,0.0024,0.0024,7.8629,0.0024,0.0189,1,,894,6.70
900,18.76,v2_Ra20,0.0049,0.0049,7.5674,0.0049,0.0371,1,,894,6.70
900,18.76,v2_Ra20,0.0098,0.0098,7.3928,0.0098,0.0724,1,,894,6.70
900,18.76,v2_Ra20,0.0147,0.0147,6.9927,0.0147,0.1028,1,,894,6.70
900,18.76,v2_Ra20,0.0196,0.0196,6.7601,0.0196,0.1325,1,,894,6.70
900,18.76,v2_Ra20,0.0244,0.0244,6.5635,0.0244,0.1601,1,,894,6.70
900,18.76,v2_Ra20,0.0293,0.0293,6.3888,0.0293,0.1872,1,,894,6.70
900,18.76,v2_Ra20,0.0342,0.0342,6.0159,0.0342,0.2057,1,,894,6.70
900,18.76,v2_Ra20,0.0391,0.0391,5.4893,0.0391,0.2146,1,,894,6.70
900,18.76,v2_Ra20,0.0440,0.0440,5.3369,0.0440,0.2348,1,,894,6.70
900,18.76,v2_Ra20,0.0489,0.0489,5.1802,0.0489,0.2533,1,,894,6.70
900,18.76,v2_Ra20,0.0538,0.0538,4.8347,0.0538,0.2601,1,,894,6.70
900,18.76,v2_Ra20,0.0587,0.0587,4.6528,0.0587,0.2731,1,,894,6.70
900,18.76,v2_Ra20,0.0636,0.0636,4.2804,0.0636,0.2722,1,,894,6.70
900,18.76,v2_Ra20,0.0684,0.0684,3.9942,0.0684,0.2732,1,,894,6.70
900,18.76,v2_Ra20,0.0733,0.0733,3.5115,0.0733,0.2574,1,,894,6.70
900,18.76,v2_Ra20,0.0782,0.0782,3.1280,0.0782,0.2446,1,,894,6.70
900,18.76,v2_Ra20,0.0831,0.0831,3.0454,0.0831,0.2531,1,,894,6.70
900,18.76,v2_Ra20,0.0880,0.0880,2.8903,0.0880,0.2543,1,,894,6.70
900,18.76,v2_Ra20,0.0929,0.0929,2.4965,0.0929,0.2319,1,,894,6.70
900,18.76,v2_Ra20,0.0978,0.0978,2.2451,0.0978,0.2196,1,,894,6.70
900,18.76,v2_Ra20,0.1027,0.1027,2.0647,0.1027,0.2120,1,,894,6.70
900,18.76,v2_Ra20,0.1076,0.1076,1.6606,0.1076,0.1787,1,,894,6.70
1000,20.90,v2_Ra20,0.0030,0.0030,9.1942,0.0030,0.0276,1,,991,7.50
1000,20.90,v2_Ra20,0.0061,0.0061,8.8149,0.0061,0.0538,1,,991,7.50
1000,20.90,v2_Ra20,0.0121,0.0121,8.4587,0.0121,0.1024,1,,991,7.50
1000,20.90,v2_Ra20,0.0182,0.0182,8.2563,0.0182,0.1503,1,,991,7.50
1000,20.90,v2_Ra20,0.0243,0.0243,7.9244,0.0243,0.1926,1,,991,7.50
1000,20.90,v2_Ra20,0.0303,0.0303,7.5755,0.0303,0.2295,1,,991,7.50
1000,20.90,v2_Ra20,0.0364,0.0364,7.3146,0.0364,0.2663,1,,991,7.50
1000,20.90,v2_Ra20,0.0424,0.0424,7.0405,0.0424,0.2985,1,,991,7.50
1000,20.90,v2_Ra20,0.0485,0.0485,6.7580,0.0485,0.3278,1,,991,7.50
1000,20.90,v2_Ra20,0.0546,0.0546,6.5112,0.0546,0.3555,1,,991,7.50
1000,20.90,v2_Ra20,0.0606,0.0606,6.2864,0.0606,0.3810,1,,991,7.50
1000,20.90,v2_Ra20,0.0667,0.0667,6.0977,0.0667,0.4067,1,,991,7.50
1000,20.90,v2_Ra20,0.0728,0.0728,5.5039,0.0728,0.4007,1,,991,7.50
1000,20.90,v2_Ra20,0.0788,0.0788,5.3637,0.0788,0.4227,1,,991,7.50
1000,20.90,v2_Ra20,0.0849,0.0849,4.5366,0.0849,0.3852,1,,991,7.50
1000,20.90,v2_Ra20,0.0909,0.0909,4.2853,0.0909,0.3895,1,,991,7.50
1000,20.90,v2_Ra20,0.0970,0.0970,3.7872,0.0970,0.3674,1,,991,7.50
1000,20.90,v2_Ra20,0.1031,0.1031,3.3535,0.1031,0.3457,1,,991,7.50
1000,20.90,v2_Ra20,0.1091,0.1091,3.2584,0.1091,0.3555,1,,991,7.50
1000,20.90,v2_Ra20,0.1152,0.1152,3.0771,0.1152,0.3545,1,,991,7.50
1000,20.90,v2_Ra20,0.1213,0.1213,2.5976,0.1213,0.3151,1,,991,7.50
1000,20.90,v2_Ra20,0.1273,0.1273,2.2825,0.1273,0.2906,1,,991,7.50
1100,23.03,v2_Ra20,0.0037,0.0037,10.9772,0.0037,0.0406,1,,1092,8.20
1100,23.03,v2_Ra20,0.0074,0.0074,10.7232,0.0074,0.0794,1,,1092,8.20
1100,23.03,v2_Ra20,0.0147,0.0147,9.9891,0.0147,0.1468,1,,1092,8.20
1100,23.03,v2_Ra20,0.0221,0.0221,9.6965,0.0221,0.2143,1,,1092,8.20
1100,23.03,v2_Ra20,0.0295,0.0295,9.3811,0.0295,0.2767,1,,1092,8.20
1100,23.03,v2_Ra20,0.0368,0.0368,8.9090,0.0368,0.3279,1,,1092,8.20
1100,23.03,v2_Ra20,0.0442,0.0442,8.6881,0.0442,0.3840,1,,1092,8.20
1100,23.03,v2_Ra20,0.0515,0.0515,8.5695,0.0515,0.4413,1,,1092,8.20
1100,23.03,v2_Ra20,0.0589,0.0589,8.0091,0.0589,0.4717,1,,1092,8.20
1100,23.03,v2_Ra20,0.0663,0.0663,7.7963,0.0663,0.5169,1,,1092,8.20
1100,23.03,v2_Ra20,0.0736,0.0736,7.4438,0.0736,0.5479,1,,1092,8.20
1100,23.03,v2_Ra20,0.0810,0.0810,7.1440,0.0810,0.5787,1,,1092,8.20
1100,23.03,v2_Ra20,0.0884,0.0884,6.7841,0.0884,0.5997,1,,1092,8.20
1100,23.03,v2_Ra20,0.0957,0.0957,6.2525,0.0957,0.5984,1,,1092,8.20
1100,23.03,v2_Ra20,0.1031,0.1031,5.9776,0.1031,0.6163,1,,1092,8.20
1100,23.03,v2_Ra20,0.1104,0.1104,5.8270,0.1104,0.6433,1,,1092,8.20
1100,23.03,v2_Ra20,0.1178,0.1178,5.2439,0.1178,0.6177,1,,1092,8.20
1100,23.03,v2_Ra20,0.1252,0.1252,4.8961,0.1252,0.6130,1,,1092,8.20
1100,23.03,v2_Ra20,0.1325,0.1325,4.3621,0.1325,0.5780,1,,1092,8.20
1100,23.03,v2_Ra20,0.1399,0.1399,3.9626,0.1399,0.5544,1,,1092,8.20
1100,23.03,v2_Ra20,0.1473,0.1473,3.4211,0.1473,0.5039,1,,1092,8.20
1100,23.03,v2_Ra20,0.1546,0.1546,3.1886,0.1546,0.4930,1,,1092,8.20
1200,25.16,v2_Ra20,0.0044,0.0044,12.8511,0.0044,0.0565,1,,1189,9.10
1200,25.16,v2_Ra20,0.0088,0.0088,12.3515,0.0088,0.1087,1,,1189,9.10
1200,25.16,v2_Ra20,0.0176,0.0176,11.8991,0.0176,0.2094,1,,1189,9.10
1200,25.16,v2_Ra20,0.0264,0.0264,11.5682,0.0264,0.3054,1,,1189,9.10
1200,25.16,v2_Ra20,0.0352,0.0352,11.3336,0.0352,0.3989,1,,1189,9.10
1200,25.16,v2_Ra20,0.0439,0.0439,10.5728,0.0439,0.4641,1,,1189,9.10
1200,25.16,v2_Ra20,0.0527,0.0527,10.3487,0.0527,0.5454,1,,1189,9.10
1200,25.16,v2_Ra20,0.0615,0.0615,9.9416,0.0615,0.6114,1,,1189,9.10
1200,25.16,v2_Ra20,0.0703,0.0703,9.3480,0.0703,0.6572,1,,1189,9.10
1200,25.16,v2_Ra20,0.0791,0.0791,9.2269,0.0791,0.7298,1,,1189,9.10
1200,25.16,v2_Ra20,0.0879,0.0879,8.6733,0.0879,0.7624,1,,1189,9.10
1200,25.16,v2_Ra20,0.0967,0.0967,8.4032,0.0967,0.8126,1,,1189,9.10
1200,25.16,v2_Ra20,0.1055,0.1055,7.8992,0.1055,0.8334,1,,1189,9.10
1200,25.16,v2_Ra20,0.1143,0.1143,7.5974,0.1143,0.8684,1,,1189,9.10
1200,25.16,v2_Ra20,0.1231,0.1231,7.3912,0.1231,0.9099,1,,1189,9.10
1200,25.16,v2_Ra20,0.1318,0.1318,6.9922,0.1318,0.9216,1,,1189,9.10
1200,25.16,v2_Ra20,0.1406,0.1406,6.7645,0.1406,0.9511,1,,1189,9.10
1200,25.16,v2_Ra20,0.1494,0.1494,6.3229,0.1494,0.9446,1,,1189,9.10
1200,25.16,v2_Ra20,0.1582,0.1582,6.0633,0.1582,0.9592,1,,1189,9.10
1200,25.16,v2_Ra20,0.1670,0.1670,5.6434,0.1670,0.9424,1,,1189,9.10
1200,25.16,v2_Ra20,0.1758,0.1758,5.2562,0.1758,0.9240,1,,1189,9.10
1200,25.16,v2_Ra20,0.1846,0.1846,4.7407,0.1846,0.8751,1,,1189,9.10
1200,25.16,v2_Ra20,0.1934,0.1934,4.0542,0.1934,0.7841,1,,1189,9.10
1200,25.16,v2_Ra20,0.2022,0.2022,3.3737,0.2022,0.6822,1,,1189,9.10
1200,25.16,v2_Ra20,0.2110,0.2110,2.9115,0.2110,0.6143,1,,1189,9.10
1300,27.29,v2_Ra20,0.0052,0.0052,14.5655,0.0052,0.0757,1,,1286,9.80
1300,27.29,v2_Ra20,0.0103,0.0103,14.1146,0.0103,0.1454,1,,1286,9.80
1300,27.29,v2_Ra20,0.0207,0.0207,13.6679,0.0207,0.2829,1,,1286,9.80
