t_s,cmd_hz,meas_hz,meas_a
0.0008,900.000,893.80,6.70
0.0541,600.000,893.80,6.70
0.1075,600.000,893.80,6.70
0.1546,600.000,893.80,6.70
0.2058,600.000,893.80,6.70
0.2558,600.000,893.80,6.70
0.3058,600.000,893.80,6.70
0.3560,600.000,888.00,6.30
0.4044,600.000,882.00,6.00
0.4534,600.000,882.00,6.00
0.5057,600.000,882.00,6.00
0.5558,600.000,882.00,6.00
0.6050,600.000,864.40,5.70
0.6548,600.000,864.40,5.70
0.7055,600.000,864.40,5.70
0.7516,600.000,864.40,5.70
0.8046,600.000,864.40,5.70
0.8561,600.000,840.80,5.40
0.9053,600.000,829.00,5.30
0.9545,600.000,829.00,5.30
1.0058,600.000,829.00,5.30
1.0558,600.000,829.00,5.30
1.1027,600.000,829.00,5.30
1.1561,600.000,805.40,5.10
1.2057,600.000,805.40,5.10
1.2558,600.000,805.40,5.10
1.3057,600.000,805.40,5.10
1.3546,600.000,805.40,5.10
1.4072,600.000,767.00,4.90
1.4558,600.000,767.00,4.90
1.5047,600.000,767.00,4.90
1.5560,600.000,767.00,4.90
1.6057,600.000,767.00,4.90
1.6564,600.000,743.40,4.80
1.7046,600.000,743.40,4.80
1.7546,600.000,743.40,4.80
1.8041,600.000,743.40,4.80
1.8558,600.000,743.40,4.80
1.9075,600.000,705.10,4.70
1.9529,600.000,705.10,4.70
2.0046,600.000,705.10,4.70
2.0543,600.000,705.10,4.70
2.1058,600.000,705.10,4.70
2.1552,600.000,681.40,4.60
2.2046,600.000,681.40,4.60
2.2535,600.000,681.40,4.60
2.3059,600.000,681.40,4.60
2.3546,600.000,681.40,4.60
2.4076,600.000,646.00,4.40
2.4559,600.000,646.00,4.40
2.5057,600.000,646.00,4.40
2.5560,600.000,646.00,4.40
2.6057,600.000,646.00,4.40
2.6573,600.000,619.50,4.40
2.7046,600.000,619.50,4.40
2.7559,600.000,619.50,4.40
2.8041,600.000,619.50,4.40
2.8548,600.000,619.50,4.40
2.9063,600.000,598.80,4.60
2.9545,600.000,598.80,4.60
3.0039,600.000,598.80,4.60
3.0544,600.000,598.80,4.60
3.1033,600.000,598.80,4.60
3.1576,600.000,592.90,4.80
3.2049,600.000,592.90,4.80
3.2557,600.000,592.90,4.80
3.3057,600.000,592.90,4.80
3.3558,600.000,592.90,4.80
3.4060,600.000,592.90,4.90
3.4545,600.000,592.90,4.90
3.5048,600.000,592.90,4.90
3.5545,600.000,592.90,4.90
3.6024,600.000,592.90,4.90
3.6577,600.000,592.90,4.90
3.7013,600.000,592.90,4.90
3.7548,600.000,592.90,4.90
3.8037,600.000,592.90,4.90
3.8560,600.000,592.90,4.90
3.9024,600.000,592.90,4.90
3.9545,600.000,592.90,4.90
4.0033,600.000,592.90,4.90
4.0541,600.000,592.90,4.90
4.1059,600.000,592.90,4.90
4.1564,600.000,592.90,4.90
4.2049,600.000,592.90,4.90
4.2557,600.000,592.90,4.90
4.3057,600.000,592.90,4.90
4.3548,600.000,592.90,4.90
4.4077,600.000,592.90,4.80
4.4546,600.000,592.90,4.80
4.5024,600.000,592.90,4.80
4.5549,600.000,592.90,4.80
4.6060,600.000,592.90,4.80
4.6543,600.000,592.90,4.80
4.7021,600.000,592.90,4.80
4.7552,600.000,592.90,4.80
4.8047,600.000,592.90,4.80
4.8571,600.000,592.90,4.80
4.9047,600.000,592.90,4.80
4.9547,600.000,592.90,4.80
5.0048,600.000,592.90,4.80
5.0545,600.000,592.90,4.80
5.1038,600.000,592.90,4.80
5.1563,600.000,592.90,4.80
5.2048,600.000,592.90,4.80
5.2537,600.000,592.90,4.80
5.3047,600.000,592.90,4.80
5.3547,600.000,592.90,4.80
5.4022,600.000,592.90,4.80
5.4514,600.000,592.90,4.80
5.5048,600.000,592.90,4.80
5.5546,600.000,592.90,4.80
5.6049,600.000,592.90,4.80
5.6565,600.000,592.90,4.80
5.7046,600.000,592.90,4.80
5.7557,600.000,592.90,4.80
5.8046,600.000,592.90,4.80
5.8550,600.000,592.90,4.80
5.9062,600.000,592.90,4.90
5.9546,600.000,592.90,4.90
6.0045,600.000,592.90,4.90
6.0537,600.000,592.90,4.90
6.1050,600.000,592.90,4.90
6.1541,600.000,592.90,4.90
6.2072,600.000,592.90,4.90
6.2547,600.000,592.90,4.90
6.3047,600.000,592.90,4.90
6.3537,600.000,592.90,4.90
6.4058,600.000,592.90,4.90
6.4576,600.000,592.90,4.90
6.5047,600.000,592.90,4.90
6.5511,600.000,592.90,4.90
6.6058,600.000,592.90,4.90
6.6548,600.000,592.90,4.90
6.7077,600.000,592.90,4.90
6.7557,600.000,592.90,4.90
6.8058,600.000,592.90,4.90
6.8558,600.000,592.90,4.90
6.9045,600.000,592.90,4.90
6.9553,600.000,592.90,4.90
7.0046,600.000,592.90,4.90
7.0544,600.000,592.90,4.90
7.1026,600.000,592.90,4.90
7.1557,600.000,592.90,4.90
7.2044,600.000,592.90,4.90
7.2557,600.000,592.90,4.90
7.3047,600.000,592.90,4.90
7.3545,600.000,592.90,4.90
7.4063,600.000,592.90,4.90
7.4560,600.000,592.90,4.90
7.5058,600.000,592.90,4.90
7.5559,600.000,592.90,4.90
7.6046,600.000,592.90,4.90
7.6559,600.000,592.90,4.90
7.7073,600.000,592.90,4.80
7.7544,600.000,592.90,4.80
7.8047,600.000,592.90,4.80
7.8561,600.000,592.90,4.80
7.9051,600.000,592.90,4.80
7.9569,600.000,592.90,4.80
8.0074,600.000,592.90,4.80
8.0553,600.000,592.90,4.80
8.1057,600.000,592.90,4.80
8.1556,600.000,592.90,4.80
8.2065,600.000,592.90,4.80
8.2564,600.000,592.90,4.80
8.3046,600.000,592.90,4.80
8.3545,600.000,592.90,4.80
8.4047,600.000,592.90,4.80
8.4556,600.000,592.90,4.80
8.5077,600.000,592.90,4.90
8.5515,600.000,592.90,4.90
8.6046,600.000,592.90,4.90
8.6545,600.000,592.90,4.90
8.7046,600.000,592.90,4.90
8.7563,600.000,592.90,4.90
8.8038,600.000,592.90,4.90
8.8540,600.000,592.90,4.90
8.9052,600.000,592.90,4.90
8.9559,600.000,592.90,4.90
9.0071,600.000,592.90,4.90
