t_s,cmd_hz,meas_hz,meas_a
0.0001,600.000,365.00,203.30
0.0587,800.000,376.30,208.60
0.1102,800.000,385.00,213.90
0.1602,800.000,398.80,221.50
0.2020,800.000,405.60,224.90
0.2583,800.000,419.60,232.40
0.3040,800.000,433.20,240.70
0.3502,800.000,442.20,244.50
0.4101,800.000,455.10,252.50
0.4602,800.000,468.40,259.40
0.5102,800.000,476.70,264.50
0.5520,800.000,487.90,270.20
0.6100,800.000,500.50,276.90
0.6600,800.000,510.40,282.90
0.7100,800.000,523.00,290.20
0.7600,800.000,535.80,297.20
0.8100,800.000,548.60,304.00
0.8575,800.000,559.70,309.70
0.9030,800.000,571.40,316.60
0.9601,800.000,583.50,322.60
1.0102,800.000,597.70,330.40
1.0519,800.000,598.70,331.40
