t_s,cmd_hz,meas_hz,meas_a
0.0001,600.000,365.90,203.60
0.0600,800.000,377.10,209.00
0.1055,800.000,384.40,213.50
0.1602,800.000,399.40,221.90
0.2102,800.000,408.00,226.20
0.2601,800.000,424.10,235.10
0.3101,800.000,435.10,241.70
0.3600,800.000,445.00,246.10
0.4100,800.000,455.50,252.70
0.4600,800.000,468.80,259.70
0.5100,800.000,477.10,264.70
0.5600,800.000,490.30,271.50
0.6101,800.000,501.00,277.20
0.6600,800.000,510.90,283.20
0.7020,800.000,524.60,290.90
0.7543,800.000,535.10,296.80
0.8101,800.000,549.30,304.40
0.8534,800.000,559.30,309.40
0.9101,800.000,569.50,314.80
0.9509,800.000,581.90,321.70
1.0101,800.000,598.20,330.60
1.0604,800.000,600.70,332.50
