t_s,cmd_hz,meas_hz,meas_a
0.0009,600.000,592.90,4.80
0.0561,900.000,592.90,4.80
0.1079,900.000,592.90,4.80
0.1559,900.000,592.90,4.80
0.2055,900.000,592.90,4.80
0.2560,900.000,592.90,4.80
0.3043,900.000,592.90,4.80
0.3569,900.000,598.80,5.10
0.4044,900.000,598.80,5.10
0.4543,900.000,598.80,5.10
0.5036,900.000,598.80,5.10
0.5551,900.000,598.80,5.10
0.6063,900.000,613.60,5.50
0.6560,900.000,613.60,5.50
0.7061,900.000,613.60,5.50
0.7559,900.000,613.60,5.50
0.8017,900.000,613.60,5.50
0.8568,900.000,646.00,5.90
0.9044,900.000,646.00,5.90
0.9536,900.000,646.00,5.90
1.0059,900.000,646.00,5.90
1.0546,900.000,646.00,5.90
1.1067,900.000,672.60,6.10
1.1559,900.000,672.60,6.10
1.2030,900.000,672.60,6.10
1.2558,900.000,672.60,6.10
1.3041,900.000,672.60,6.10
1.3575,900.000,708.00,6.30
1.4064,900.000,708.00,6.30
1.4544,900.000,708.00,6.30
1.5014,900.000,708.00,6.30
1.5558,900.000,708.00,6.30
1.6042,900.000,708.00,6.30
1.6578,900.000,746.30,6.50
1.7060,900.000,746.30,6.50
1.7565,900.000,746.30,6.50
1.8059,900.000,746.30,6.50
1.8561,900.000,746.30,6.50
1.9069,900.000,769.90,6.70
1.9514,900.000,769.90,6.70
2.0060,900.000,769.90,6.70
2.0524,900.000,769.90,6.70
2.1053,900.000,769.90,6.70
2.1577,900.000,805.40,7.00
2.2057,900.000,805.40,7.00
2.2529,900.000,805.40,7.00
2.3036,900.000,805.40,7.00
2.3559,900.000,805.40,7.00
2.4074,900.000,829.00,7.20
2.4558,900.000,840.80,7.30
2.5040,900.000,840.80,7.30
2.5509,900.000,840.80,7.30
2.6045,900.000,840.80,7.30
2.6567,900.000,867.30,7.50
2.7052,900.000,867.30,7.50
2.7560,900.000,867.30,7.50
2.8059,900.000,867.30,7.50
2.8531,900.000,867.30,7.50
2.9037,900.000,882.00,7.20
2.9558,900.000,888.00,7.00
3.0060,900.000,888.00,7.00
3.0541,900.000,888.00,7.00
3.1059,900.000,888.00,7.00
3.1575,900.000,893.80,6.80
3.2060,900.000,893.80,6.80
3.2560,900.000,893.80,6.80
3.3042,900.000,893.80,6.80
3.3552,900.000,893.80,6.80
3.4076,900.000,893.80,6.70
3.4569,900.000,893.80,6.70
3.5056,900.000,893.80,6.70
3.5553,900.000,893.80,6.70
3.6062,900.000,893.80,6.70
3.6559,900.000,893.80,6.70
3.7068,900.000,893.80,6.70
3.7537,900.000,893.80,6.70
3.8043,900.000,893.80,6.70
3.8544,900.000,893.80,6.70
3.9059,900.000,893.80,6.70
3.9567,900.000,893.80,6.60
4.0044,900.000,893.80,6.60
4.0536,900.000,893.80,6.60
4.1053,900.000,893.80,6.60
4.1553,900.000,893.80,6.60
4.2075,900.000,893.80,6.60
4.2545,900.000,893.80,6.60
4.3060,900.000,893.80,6.60
4.3547,900.000,893.80,6.60
4.4059,900.000,893.80,6.60
4.4530,900.000,893.80,6.60
4.5059,900.000,893.80,6.60
4.5544,900.000,893.80,6.60
4.6049,900.000,893.80,6.60
4.6544,900.000,893.80,6.60
4.7058,900.000,893.80,6.70
4.7559,900.000,893.80,6.70
4.8041,900.000,893.80,6.70
4.8559,900.000,893.80,6.70
4.9078,900.000,893.80,6.60
4.9548,900.000,893.80,6.60
5.0026,900.000,893.80,6.60
5.0544,900.000,893.80,6.60
5.1060,900.000,893.80,6.60
5.1517,900.000,893.80,6.60
5.2064,900.000,893.80,6.60
5.2549,900.000,893.80,6.60
5.3020,900.000,893.80,6.60
5.3547,900.000,893.80,6.60
5.4045,900.000,893.80,6.60
5.4568,900.000,893.80,6.60
5.5027,900.000,893.80,6.60
5.5560,900.000,893.80,6.60
5.6032,900.000,893.80,6.60
5.6547,900.000,893.80,6.60
5.7082,900.000,893.80,6.60
5.7555,900.000,893.80,6.60
5.8061,900.000,893.80,6.60
5.8557,900.000,893.80,6.60
5.9059,900.000,893.80,6.60
5.9576,900.000,893.80,6.70
6.0044,900.000,893.80,6.70
6.0509,900.000,893.80,6.70
