fan_rpm,demand_a,held_a,volts,amps,watts,tracking,note
1200.0,0.0050,0.0050,12.6643,0.0050,0.0633,1,
1200.0,0.0100,0.0100,12.4834,0.0100,0.1248,1,
1200.0,0.0200,0.0200,11.9846,0.0200,0.2397,1,
1200.0,0.0300,0.0300,11.4810,0.0300,0.3444,1,
1200.0,0.0400,0.0400,10.9043,0.0400,0.4362,1,
1200.0,0.0500,0.0500,10.6174,0.0500,0.5309,1,
1200.0,0.0600,0.0600,10.1168,0.0600,0.6070,1,
1200.0,0.0700,0.0700,9.5533,0.0700,0.6687,1,
1200.0,0.0800,0.0800,8.9937,0.0800,0.7195,1,
1200.0,0.0900,0.0900,8.7182,0.0900,0.7846,1,
1200.0,0.1000,0.1000,8.2760,0.1000,0.8276,1,
1200.0,0.1100,0.1100,8.1129,0.1100,0.8924,1,
1200.0,0.1200,0.1200,7.4786,0.1200,0.8974,1,
1200.0,0.1300,0.1300,7.2429,0.1300,0.9416,1,
1200.0,0.1400,0.1400,6.8588,0.1400,0.9602,1,
1200.0,0.1500,0.1500,6.4129,0.1500,0.9619,1,
1200.0,0.1600,0.1600,5.9101,0.1600,0.9456,1,
1200.0,0.1700,0.1700,5.3262,0.1700,0.9055,1,
1200.0,0.1800,0.1800,4.4739,0.1800,0.8053,1,
1200.0,0.1900,0.1900,4.3295,0.1900,0.8226,1,
1200.0,0.2000,0.2000,3.5358,0.2000,0.7072,1,
1200.0,0.2100,0.2100,3.0207,0.2100,0.6343,1,
1200.0,0.2200,0.2200,2.3222,0.2200,0.5109,1,
1200.0,0.2300,0.2300,2.3493,0.2300,0.5403,1,
1200.0,0.2400,0.2400,1.8631,0.2400,0.4471,1,
1200.0,0.2500,0.2500,1.6456,0.2500,0.4114,1,
1200.0,0.2600,0.2600,0.9634,0.2600,0.2505,1,
1200.0,0.2700,0.2700,0.1292,0.2701,0.0349,1,under v_floor
1200.0,0.2800,0.2800,0.0803,0.2800,0.0225,1,under v_floor
1200.0,0.2080,0.2080,3.0864,0.2080,0.6420,1,operating point
