t_s,cmd_hz,meas_hz,meas_a,v_meas
0.0733,97.566,97.00,4.30,
0.0751,97.984,97.00,4.30,
0.1471,98.353,98.00,4.30,
0.1511,98.669,98.00,4.30,
0.2471,98.934,98.00,4.30,
0.2511,99.153,98.00,4.30,
0.3633,99.331,98.00,4.40,
0.3758,99.475,98.00,4.40,
0.4471,99.589,99.00,4.40,
0.4511,99.680,99.00,4.40,
0.5473,99.752,99.00,4.40,
0.5512,99.808,99.00,4.40,
0.6610,99.852,99.00,4.30,
0.6733,99.886,99.00,4.30,
0.7469,99.913,99.00,4.30,
0.7511,99.933,99.00,4.30,
0.8470,99.949,99.00,4.40,
0.8511,99.961,99.00,4.40,
0.9590,99.970,99.00,4.40,
0.9716,99.977,99.00,4.40,
1.0472,99.983,100.00,4.50,
1.0512,99.987,100.00,4.50,
1.1491,99.990,100.00,4.30,
1.1506,99.993,100.00,4.30,
1.2591,99.994,100.00,4.30,
1.2715,99.996,100.00,4.30,
1.3471,99.997,100.00,4.30,
1.3511,99.998,100.00,4.30,
1.4470,99.998,100.00,4.30,
1.4511,99.999,100.00,4.30,
1.5590,99.999,100.00,4.40,
1.5714,99.999,100.00,4.40,
1.6471,99.999,100.00,4.50,
1.6511,100.000,100.00,4.50,
1.7470,100.000,99.00,4.40,
1.7511,100.000,99.00,4.40,
1.8632,100.000,100.00,4.40,
1.8756,100.000,100.00,4.40,
1.9472,100.000,100.00,4.30,
1.9512,100.000,100.00,4.30,
2.0474,100.000,100.00,4.30,
2.0512,100.000,100.00,4.30,
2.1613,100.000,100.00,4.30,
2.1737,100.000,100.00,4.30,
2.2473,100.000,100.00,4.40,
2.2513,100.000,100.00,4.40,
2.3471,100.000,100.00,4.40,
2.3511,100.000,100.00,4.40,
2.4591,100.000,100.00,4.40,
2.4716,100.000,100.00,4.40,
2.5472,100.000,100.00,4.40,
2.5511,100.000,100.00,4.40,
2.6493,100.000,100.00,4.40,
2.6508,100.000,100.00,4.40,
2.7593,100.000,100.00,4.40,
2.7719,100.000,100.00,4.40,
2.8474,100.000,100.00,4.30,
2.8511,100.000,100.00,4.30,
2.9473,100.000,100.00,4.30,
2.9511,100.000,100.00,4.30,
3.0654,100.000,100.00,4.30,
3.0800,100.000,100.00,4.30,
3.1492,100.000,100.00,4.40,
3.1506,100.000,100.00,4.40,
3.2473,100.000,99.00,4.50,
3.2512,100.000,99.00,4.50,
3.3493,100.000,99.00,4.50,
3.3615,100.000,99.00,4.50,
3.4472,100.000,99.00,4.50,
3.4506,100.000,99.00,4.50,
3.5473,100.000,100.00,4.30,
3.5511,100.000,100.00,4.30,
3.6493,100.000,100.00,4.20,
3.6617,100.000,100.00,4.20,
3.7472,100.000,100.00,4.20,
3.7511,100.000,100.00,4.20,
3.8494,100.000,100.00,4.30,
3.8506,100.000,100.00,4.30,
3.9652,100.000,101.00,4.40,
3.9779,100.000,101.00,4.40,
4.0494,100.000,100.00,4.50,
4.0506,100.000,100.00,4.50,
4.1474,100.000,100.00,4.40,
4.1512,100.000,100.00,4.40,
4.2634,100.000,100.00,4.30,
4.2782,100.000,100.00,4.30,
4.3494,100.000,100.00,4.30,
4.3505,100.000,100.00,4.30,
4.4472,100.000,100.00,4.20,
4.4511,100.000,100.00,4.20,
4.5592,100.000,100.00,4.40,
4.5716,100.000,100.00,4.40,
4.6473,100.000,99.00,4.40,
4.6511,100.000,99.00,4.40,
4.7494,100.000,99.00,4.40,
4.7505,100.000,99.00,4.40,
